slot,hf_id,family,size,class,params_b,fp16_gb,gated,license,verified,verification_method,verified_at,template,fallback_mirror,substitution_note
q3_060_base,Qwen/Qwen3-0.6B-Base,qwen3,0.6,base,596049920,1.2,false,apache-2.0,true,hf_api_GET /api/models/Qwen/Qwen3-0.6B-Base HTTP 200,2026-09-19T02:46:29.477270+00:00,unknown,,
q3_060_instruct,rd211/Qwen3-0.6B-Instruct,qwen3,0.6,instruct,596052992,1.2,false,apache-2.0,true,hf_api_GET /api/models/rd211/Qwen3-0.6B-Instruct HTTP 200,2026-09-19T02:46:29.769249+00:00,unknown,,primary Qwen/Qwen3-0.6B-Instruct 404s on the Hub; substituted with verified ungated rd211/Qwen3-0.6B-Instruct
q3_060_ablit,huihui-ai/Qwen3-0.6B-abliterated,qwen3,0.6,abliterated,596049920,1.2,true,apache-2.0,true,hf_api_GET /api/models/huihui-ai/Qwen3-0.6B-abliterated HTTP 200,2026-09-19T02:46:29.780098+00:00,unknown,DavidAU/Qwen3-0.6B-heretic-abliterated-uncensored,
q3_170_base,Qwen/Qwen3-1.7B-Base,qwen3,1.7,base,1720574976,3.4,false,apache-2.0,true,hf_api_GET /api/models/Qwen/Qwen3-1.7B-Base HTTP 200,2026-09-19T02:46:29.814828+00:00,unknown,,
q3_170_instruct,rd211/Qwen3-1.7B-Instruct,qwen3,1.7,instruct,1720581120,3.4,false,apache-2.0,true,hf_api_GET /api/models/rd211/Qwen3-1.7B-Instruct HTTP 200,2026-09-19T02:46:29.841577+00:00,unknown,,primary Qwen/Qwen3-1.7B-Instruct 404s on the Hub; substituted with verified ungated rd211/Qwen3-1.7B-Instruct
q3_170_ablit,huihui-ai/Qwen3-1.7B-abliterated,qwen3,1.7,abliterated,1720574976,3.4,true,apache-2.0,true,hf_api_GET /api/models/huihui-ai/Qwen3-1.7B-abliterated HTTP 200,2026-09-19T02:46:29.848953+00:00,unknown,mlabonne/Qwen3-1.7B-abliterated,
q3_4b_base,Qwen/Qwen3-4B-Base,qwen3,4.0,base,4022468096,8.0,false,apache-2.0,true,hf_api_GET /api/models/Qwen/Qwen3-4B-Base HTTP 200,2026-09-19T02:46:29.874394+00:00,unknown,,
q3_4b_instruct,Qwen/Qwen3-4B-Instruct-2507,qwen3,4.0,instruct,4022468096,8.0,false,apache-2.0,true,hf_api_GET /api/models/Qwen/Qwen3-4B-Instruct-2507 HTTP 200,2026-09-19T02:46:29.881917+00:00,unknown,,
q3_4b_ablit,huihui-ai/Qwen3-4B-abliterated,qwen3,4.0,abliterated,4022468096,8.0,true,apache-2.0,true,hf_api_GET /api/models/huihui-ai/Qwen3-4B-abliterated HTTP 200,2026-09-19T02:46:29.889327+00:00,unknown,ahmed22xa/Huihui-Qwen3-VL-4B-Instruct-abliterated-comfy,
llm_1b_base,meta-llama/Llama-3.2-1B,llama3.2,1.0,base,1235814400,2.5,true,llama3.2,true,hf_api_GET /api/models/meta-llama/Llama-3.2-1B HTTP 200,2026-09-19T02:46:29.922566+00:00,unknown,bartowski/Llama-3.2-1B-Instruct-GGUF,
llm_1b_instruct,meta-llama/Llama-3.2-1B-Instruct,llama3.2,1.0,instruct,1235814400,2.5,true,llama3.2,true,hf_api_GET /api/models/meta-llama/Llama-3.2-1B-Instruct HTTP 200,2026-09-19T02:46:29.958254+00:00,unknown,bartowski/Llama-3.2-1B-Instruct-GGUF,
llm_1b_ablit,mylesgoose/Llama-3.2-1B-Instruct-abliterated,llama3.2,1.0,abliterated,1235814400,2.5,false,llama3.2,true,hf_api_GET /api/models/mylesgoose/Llama-3.2-1B-Instruct-abliterated HTTP 200,2026-09-19T02:46:30.021833+00:00,unknown,,primary huihui-ai/Llama-3.2-1B-Instruct-abliterated 404s on the Hub; substituted with verified ungated mylesgoose/Llama-3.2-1B-Instruct-abliterated
llm_3b_base,meta-llama/Llama-3.2-3B,llama3.2,3.0,base,3212749824,6.4,true,llama3.2,true,hf_api_GET /api/models/meta-llama/Llama-3.2-3B HTTP 200,2026-09-19T02:46:30.030097+00:00,unknown,hugging-quants/Llama-3.2-3B-Instruct-Q4_K_M-GGUF,
llm_3b_instruct,meta-llama/Llama-3.2-3B-Instruct,llama3.2,3.0,instruct,3212749824,6.4,true,llama3.2,true,hf_api_GET /api/models/meta-llama/Llama-3.2-3B-Instruct HTTP 200,2026-09-19T02:46:30.064460+00:00,unknown,hugging-quants/Llama-3.2-3B-Instruct-Q4_K_M-GGUF,
llm_3b_ablit,huihui-ai/Llama-3.2-3B-Instruct-abliterated,llama3.2,3.0,abliterated,3606752256,7.2,false,llama3.2,true,hf_api_GET /api/models/huihui-ai/Llama-3.2-3B-Instruct-abliterated HTTP 200,2026-09-19T02:46:30.094737+00:00,unknown,,
gemma_2b_it,google/gemma-2-2b-it,gemma2,2.0,instruct,2614341888,5.2,true,gemma,true,hf_api_GET /api/models/google/gemma-2-2b-it HTTP 200,2026-09-19T02:46:30.114546+00:00,unknown,bartowski/gemma-2-2b-it-abliterated-GGUF,
gemma_1b_it,google/gemma-3-1b-it,gemma3,1.0,instruct,999885952,2.0,true,gemma,true,hf_api_GET /api/models/google/gemma-3-1b-it HTTP 200,2026-09-19T02:46:30.149593+00:00,unknown,DavidAU/gemma-3-1b-it-heretic-extreme-uncensored-abliterated,
gemma_4b_it,google/gemma-3-4b-it,gemma3,4.0,instruct,4300079472,8.6,true,gemma,true,hf_api_GET /api/models/google/gemma-3-4b-it HTTP 200,2026-09-19T02:46:30.176007+00:00,unknown,unsloth/gemma-3-4b-it-GGUF,
phi_35,microsoft/Phi-3.5-mini-instruct,phi3,3.8,instruct,3821079552,7.6,false,mit,true,hf_api_GET /api/models/microsoft/Phi-3.5-mini-instruct HTTP 200,2026-09-19T02:46:30.224436+00:00,unknown,,
